Perf.,Cost,Query,Type
18172,1501049,28,ONLINE/THETA-0.0
36264,1951716,29,ONLINE/THETA-0.0
14504,717559,30,ONLINE/THETA-0.0
41185,2759821,77,ONLINE/THETA-0.0
56607,5053768,78,ONLINE/THETA-0.0
19665,819799,79,ONLINE/THETA-0.0
42695,3491403,80,ONLINE/THETA-0.0
16377,759373,81,ONLINE/THETA-0.0
26116,297702,82,ONLINE/THETA-0.0
16730,1119370,83,ONLINE/THETA-0.0
21404,166886,84,ONLINE/THETA-0.0
19473,661290,85,ONLINE/THETA-0.0
8415,275772,86,ONLINE/THETA-0.0
20296,1376852,87,ONLINE/THETA-0.0
26940,600301,89,ONLINE/THETA-0.0
13416,311535,91,ONLINE/THETA-0.0
11607,394647,92,ONLINE/THETA-0.0
25384,933808,93,ONLINE/THETA-0.0
17408,834846,94,ONLINE/THETA-0.0
10805,207898,96,ONLINE/THETA-0.0
14144,941261,97,ONLINE/THETA-0.0
21222,972220,98,ONLINE/THETA-0.0
24640,311135,99,ONLINE/THETA-0.0
55327,2391615,31,ONLINE/THETA-0.0
16728,838826,32,ONLINE/THETA-0.0
20340,1340828,33,ONLINE/THETA-0.0
13827,441975,34,ONLINE/THETA-0.0
22965,1421187,35,ONLINE/THETA-0.0
44704,882022,36,ONLINE/THETA-0.0
9663,363692,37,ONLINE/THETA-0.0
24820,1502864,38,ONLINE/THETA-0.0
32716,648183,39a,ONLINE/THETA-0.0
26716,506587,39b,ONLINE/THETA-0.0
21231,746374,40,ONLINE/THETA-0.0
1863,1495,41,ONLINE/THETA-0.0
9948,387692,42,ONLINE/THETA-0.0
9637,343468,43,ONLINE/THETA-0.0
17708,291949,44,ONLINE/THETA-0.0
17148,686653,45,ONLINE/THETA-0.0
15598,562211,46,ONLINE/THETA-0.0
33686,1316326,47,ONLINE/THETA-0.0
15539,677619,48,ONLINE/THETA-0.0
29904,2562897,49,ONLINE/THETA-0.0
51903,1741901,50,ONLINE/THETA-0.0
32120,1779602,51,ONLINE/THETA-0.0
11967,491935,52,ONLINE/THETA-0.0
47330,427070,53,ONLINE/THETA-0.0
29887,1140711,54,ONLINE/THETA-0.0
10899,466273,55,ONLINE/THETA-0.0
17192,1157042,56,ONLINE/THETA-0.0
30737,1139507,57,ONLINE/THETA-0.0
29009,2623851,58,ONLINE/THETA-0.0
13446,541265,59,ONLINE/THETA-0.0
20339,1253595,60,ONLINE/THETA-0.0
24806,1614375,61,ONLINE/THETA-0.0
19219,285622,62,ONLINE/THETA-0.0
14883,538410,68,ONLINE/THETA-0.0
17627,1205228,69,ONLINE/THETA-0.0
29472,1805514,70,ONLINE/THETA-0.0
24176,1690977,71,ONLINE/THETA-0.0
12057,457927,73,ONLINE/THETA-0.0
34830,2669304,74,ONLINE/THETA-0.0
56337,4070763,75,ONLINE/THETA-0.0
16449,1031981,76,ONLINE/THETA-0.0
17874,109477,41,ONLINE/THETA-0.25
22954,552065,42,ONLINE/THETA-0.25
18694,349488,43,ONLINE/THETA-0.25
19815,363440,44,ONLINE/THETA-0.25
30735,978553,45,ONLINE/THETA-0.25
20055,300249,46,ONLINE/THETA-0.25
73389,1443036,47,ONLINE/THETA-0.25
25501,569882,48,ONLINE/THETA-0.25
34910,1924256,49,ONLINE/THETA-0.25
34133,1047914,50,ONLINE/THETA-0.25
23426,1050536,51,ONLINE/THETA-0.25
15365,301257,52,ONLINE/THETA-0.25
34506,196652,53,ONLINE/THETA-0.25
26584,759137,54,ONLINE/THETA-0.25
14708,313272,55,ONLINE/THETA-0.25
21075,951451,56,ONLINE/THETA-0.25
30743,766400,57,ONLINE/THETA-0.25
26959,1639579,58,ONLINE/THETA-0.25
15964,441028,59,ONLINE/THETA-0.25
22594,1047916,60,ONLINE/THETA-0.25
25347,669054,61,ONLINE/THETA-0.25
20570,271186,62,ONLINE/THETA-0.25
18031,242865,68,ONLINE/THETA-0.25
181390,6925276,14b,ONLINE/THETA-0.25
55130,785923,15,ONLINE/THETA-0.25
21323,717666,16,ONLINE/THETA-0.25
41684,1433241,17,ONLINE/THETA-0.25
28741,747182,18,ONLINE/THETA-0.25
21729,460254,19,ONLINE/THETA-0.25
27616,510004,20,ONLINE/THETA-0.25
7737,115406,21,ONLINE/THETA-0.25
8771,211393,22,ONLINE/THETA-0.25
71315,4179590,23a,ONLINE/THETA-0.25
83119,5181243,23b,ONLINE/THETA-0.25
28931,702250,24a,ONLINE/THETA-0.25
28144,712123,24b,ONLINE/THETA-0.25
65089,1338368,25,ONLINE/THETA-0.25
23477,533545,26,ONLINE/THETA-0.25
