,optimum,Availability,dataset,theta
409,41,0-shot,sqlstorm,0.0
410,8,0-shot,sqlstorm,0.0
411,35,0-shot,sqlstorm,0.0
412,25,0-shot,sqlstorm,0.0
413,2,0-shot,sqlstorm,0.0
414,19,0-shot,sqlstorm,0.0
415,0,0-shot,sqlstorm,0.0
416,0,0-shot,sqlstorm,0.0
417,0,0-shot,sqlstorm,0.0
418,0,0-shot,sqlstorm,0.0
419,0,0-shot,sqlstorm,0.0
420,0,0-shot,sqlstorm,0.0
421,0,0-shot,sqlstorm,0.0
422,0,0-shot,sqlstorm,0.0
423,53,0-shot,sqlstorm,0.0
424,0,0-shot,sqlstorm,0.0
425,13,0-shot,sqlstorm,0.0
426,0,0-shot,sqlstorm,0.0
427,8,0-shot,sqlstorm,0.0
428,0,0-shot,sqlstorm,0.0
429,2,0-shot,sqlstorm,0.0
430,0,0-shot,sqlstorm,0.0
431,36,0-shot,sqlstorm,0.0
432,35,0-shot,sqlstorm,0.0
433,34,0-shot,sqlstorm,0.0
434,21,0-shot,sqlstorm,0.0
435,8,0-shot,sqlstorm,0.0
436,53,0-shot,sqlstorm,0.0
437,0,0-shot,sqlstorm,0.0
438,8,0-shot,sqlstorm,0.0
439,8,0-shot,sqlstorm,0.0
440,53,0-shot,sqlstorm,0.0
441,34,0-shot,sqlstorm,0.0
442,0,0-shot,sqlstorm,0.0
443,35,0-shot,sqlstorm,0.0
444,32,0-shot,sqlstorm,0.0
445,0,0-shot,sqlstorm,0.0
446,53,0-shot,sqlstorm,0.0
447,41,0-shot,sqlstorm,0.0
448,0,0-shot,sqlstorm,0.0
449,50,0-shot,sqlstorm,0.0
450,35,0-shot,sqlstorm,0.0
451,8,0-shot,sqlstorm,0.0
452,0,0-shot,sqlstorm,0.0
453,53,0-shot,sqlstorm,0.0
454,53,0-shot,sqlstorm,0.0
455,0,0-shot,sqlstorm,0.0
456,8,0-shot,sqlstorm,0.0
457,0,0-shot,sqlstorm,0.0
458,25,0-shot,sqlstorm,0.0
459,41,0-shot,sqlstorm,0.0
460,8,0-shot,sqlstorm,0.0
461,0,0-shot,sqlstorm,0.0
462,2,0-shot,sqlstorm,0.0
463,0,0-shot,sqlstorm,0.0
464,36,0-shot,sqlstorm,0.0
465,35,0-shot,sqlstorm,0.0
466,34,0-shot,sqlstorm,0.0
467,21,0-shot,sqlstorm,0.0
468,8,0-shot,sqlstorm,0.0
469,53,0-shot,sqlstorm,0.0
470,0,0-shot,sqlstorm,0.0
471,8,0-shot,sqlstorm,0.0
